,신재생에너지_합계,재생에너지,신에너지
서울,350880,281191,69688
부산,237438,198505,38933
대구,179156,170257,8899
인천,387825,362573,25252
광주,73199,72652,546
대전,113836,113750,85
울산,1343420,1338988,4432
세종,65440,65440,0
경기,1634363,1501521,132841
강원,1237809,1237768,41
충북,806868,806806,61
충남,2231253,1951391,279861
전북,1158328,1158139,189
전남,3229555,3206708,22847
경북,2345137,2341743,3394
경남,679022,678933,88
제주,374842,374842,0
