,신·재생에너지 합계(toe),재생에너지,신에너지
count,17.0,17.0,17.0
mean,781940.0588235294,768324.8823529412,13615.176470588236
std,818709.2483170895,812027.1006638174,31009.360153902107
min,57878.0,57878.0,0.0
25%,182528.0,172802.0,44.0
50%,555104.0,552573.0,3411.0
75%,1105802.0,1105758.0,9726.0
max,3053159.0,3037676.0,128009.0
