,신재생에너지_합계,재생에너지,신에너지
서울,335295,298327,36968
부산,145572,140254,5318
대구,182528,172802,9726
인천,628328,609803,18525
광주,67587,67065,522
대전,65131,65087,44
울산,694169,689305,4864
세종,57878,57878,0
경기,1409594,1281585,128009
강원,1105802,1105758,44
충북,318637,318633,4
충남,1707231,1701236,5995
전북,555104,552573,2531
전남,3053159,3037676,15483
경북,1888610,1885199,3411
경남,710934,710920,14
제주,367422,367422,0
