,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
신·재생에너지 합계,14178408,316805,135771,181857,469248,70214,86762,1176786,84701,1514250,902962,568358,1840830,658316,3034387,2043004,667175,426972
재생에너지,13860688,278669,129365,170945,445398,69668,86698,1172800,84701,1389487,902919,568332,1759599,657907,3009489,2040607,667125,426972
신에너지,317719,38136,6406,10911,23849,546,64,3986,0,124763,42,26,81231,408,24897,2396,50,0
