,신·재생에너지 합계(toe),재생에너지,신에너지
count,17.0,17.0,17.0
mean,834023.4117647059,815334.1764705882,18688.882352941175
std,837166.4570440919,823951.6377635003,34507.06206684792
min,70214.0,69668.0,0.0
25%,181857.0,170945.0,50.0
50%,568358.0,568332.0,2396.0
75%,1176786.0,1172800.0,23849.0
max,3034387.0,3009489.0,124763.0
