,신·재생에너지 합계(toe),재생에너지,신에너지
2007,5608776,5606944,1832
2008,5858481,5854113,4367
2009,6086249,6067056,19193
2010,6856284,6813938,42347
2011,7582845,7519502,63344
2012,8850739,8768229,82510
2013,9879207,9756791,122416
2014,11537366,11337997,199369
2015,13292989.965658665,13061531.965658665,231458
2016,14178408.189040963,13860688.189040963,317720
2017,16448379.929984298,15861215.892984297,587164.037
2018,17837507.118965864,17098675.633267816,738831.4856980498
