,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
신·재생에너지 합계,16448379,350880,237438,179156,387825,73199,113836,1343420,65440,1634363,1237809,806868,2231253,1158328,3229555,2345137,679022,374842
재생에너지,15861215,281191,198505,170257,362573,72652,113750,1338988,65440,1501521,1237768,806806,1951391,1158139,3206708,2341743,678933,374842
신에너지,587164,69688,38933,8899,25252,546,85,4432,0,132841,41,61,279861,189,22847,3394,88,0
