,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
신·재생에너지 합계,13292990,335295,145572,182528,628328,67587,65131,694169,57878,1409594,1105802,318637,1707231,555104,3053159,1888610,710934,367422
재생에너지,13061532,298327,140254,172802,609803,67065,65087,689305,57878,1281585,1105758,318633,1701236,552573,3037676,1885199,710920,367422
신에너지,231458,36968,5318,9726,18525,522,44,4864,0,128009,44,4,5995,2531,15483,3411,14,0
